construct_id,construct_name,prompt_variant,run_number,parse_ok,ssa_ok,cf_ok,type_ok,failure_category,failure_description,notes
01,var_decl,A,1,,,,,,,"Fill in after LLM run"
01,var_decl,A,2,,,,,,,"Fill in after LLM run"
01,var_decl,A,3,,,,,,,"Fill in after LLM run"
01,var_decl,B,1,,,,,,,"Fill in after LLM run"
01,var_decl,B,2,,,,,,,"Fill in after LLM run"
01,var_decl,B,3,,,,,,,"Fill in after LLM run"
01,var_decl,C,1,,,,,,,"Fill in after LLM run"
01,var_decl,C,2,,,,,,,"Fill in after LLM run"
01,var_decl,C,3,,,,,,,"Fill in after LLM run"
02,expressions,A,1,,,,,,,"Fill in after LLM run"
02,expressions,A,2,,,,,,,"Fill in after LLM run"
02,expressions,A,3,,,,,,,"Fill in after LLM run"
02,expressions,B,1,,,,,,,"Fill in after LLM run"
02,expressions,B,2,,,,,,,"Fill in after LLM run"
02,expressions,B,3,,,,,,,"Fill in after LLM run"
02,expressions,C,1,,,,,,,"Fill in after LLM run"
02,expressions,C,2,,,,,,,"Fill in after LLM run"
02,expressions,C,3,,,,,,,"Fill in after LLM run"
03,if_else,A,1,,,,,,,"Fill in after LLM run"
03,if_else,A,2,,,,,,,"Fill in after LLM run"
03,if_else,A,3,,,,,,,"Fill in after LLM run"
03,if_else,B,1,,,,,,,"Fill in after LLM run"
03,if_else,B,2,,,,,,,"Fill in after LLM run"
03,if_else,B,3,,,,,,,"Fill in after LLM run"
03,if_else,C,1,,,,,,,"Fill in after LLM run"
03,if_else,C,2,,,,,,,"Fill in after LLM run"
03,if_else,C,3,,,,,,,"Fill in after LLM run"
04,while_loop,A,1,,,,,,,"Fill in after LLM run"
04,while_loop,A,2,,,,,,,"Fill in after LLM run"
04,while_loop,A,3,,,,,,,"Fill in after LLM run"
04,while_loop,B,1,,,,,,,"Fill in after LLM run"
04,while_loop,B,2,,,,,,,"Fill in after LLM run"
04,while_loop,B,3,,,,,,,"Fill in after LLM run"
04,while_loop,C,1,,,,,,,"Fill in after LLM run"
04,while_loop,C,2,,,,,,,"Fill in after LLM run"
04,while_loop,C,3,,,,,,,"Fill in after LLM run"
05,for_loop,A,1,,,,,,,"Fill in after LLM run"
05,for_loop,A,2,,,,,,,"Fill in after LLM run"
05,for_loop,A,3,,,,,,,"Fill in after LLM run"
05,for_loop,B,1,,,,,,,"Fill in after LLM run"
05,for_loop,B,2,,,,,,,"Fill in after LLM run"
05,for_loop,B,3,,,,,,,"Fill in after LLM run"
05,for_loop,C,1,,,,,,,"Fill in after LLM run"
05,for_loop,C,2,,,,,,,"Fill in after LLM run"
05,for_loop,C,3,,,,,,,"Fill in after LLM run"
06,functions,A,1,,,,,,,"Fill in after LLM run"
06,functions,A,2,,,,,,,"Fill in after LLM run"
06,functions,A,3,,,,,,,"Fill in after LLM run"
06,functions,B,1,,,,,,,"Fill in after LLM run"
06,functions,B,2,,,,,,,"Fill in after LLM run"
06,functions,B,3,,,,,,,"Fill in after LLM run"
06,functions,C,1,,,,,,,"Fill in after LLM run"
06,functions,C,2,,,,,,,"Fill in after LLM run"
06,functions,C,3,,,,,,,"Fill in after LLM run"
07,nested_ctrl,A,1,,,,,,,"Fill in after LLM run"
07,nested_ctrl,A,2,,,,,,,"Fill in after LLM run"
07,nested_ctrl,A,3,,,,,,,"Fill in after LLM run"
07,nested_ctrl,B,1,,,,,,,"Fill in after LLM run"
07,nested_ctrl,B,2,,,,,,,"Fill in after LLM run"
07,nested_ctrl,B,3,,,,,,,"Fill in after LLM run"
07,nested_ctrl,C,1,,,,,,,"Fill in after LLM run"
07,nested_ctrl,C,2,,,,,,,"Fill in after LLM run"
07,nested_ctrl,C,3,,,,,,,"Fill in after LLM run"