construct_id,construct_name,prompt_variant,run_number,parse_ok,ssa_ok,cf_ok,all_ok,failure_category,validator_output_summary
01,var_decl,A,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_A_run1.ll | ============================================================ |  | 
01,var_decl,A,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_A_run2.ll | ============================================================ |  | 
01,var_decl,A,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_A_run3.ll | ============================================================ |  | 
01,var_decl,B,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_B_run1.ll | ============================================================ |  | 
01,var_decl,B,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_B_run2.ll | ============================================================ |  | 
01,var_decl,B,3,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_B_run3.ll | ============================================================ |  | 
01,var_decl,C,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_C_run1.ll | ============================================================ |  | 
01,var_decl,C,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_C_run2.ll | ============================================================ |  | 
01,var_decl,C,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_C_run3.ll | ============================================================ |  | 
02,expressions,A,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_A_run1.ll | ===========================================================
02,expressions,A,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_A_run2.ll | ===========================================================
02,expressions,A,3,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_A_run3.ll | ===========================================================
02,expressions,B,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_B_run1.ll | ===========================================================
02,expressions,B,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_B_run2.ll | ===========================================================
02,expressions,B,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_B_run3.ll | ===========================================================
02,expressions,C,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_C_run1.ll | ===========================================================
02,expressions,C,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_C_run2.ll | ===========================================================
02,expressions,C,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_C_run3.ll | ===========================================================
03,if_else,A,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\03_if_else_A_run1.ll | ============================================================ |  | [
03,if_else,A,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\03_if_else_A_run2.ll | ============================================================ |  | [
03,if_else,A,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\03_if_else_A_run3.ll | ============================================================ |  | [
03,if_else,B,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\03_if_else_B_run1.ll | ============================================================ |  | [
03,if_else,B,2,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\03_if_else_B_run2.ll | ============================================================ |  | [
03,if_else,B,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\03_if_else_B_run3.ll | ============================================================ |  | [
03,if_else,C,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\03_if_else_C_run1.ll | ============================================================ |  | [
03,if_else,C,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\03_if_else_C_run2.ll | ============================================================ |  | [
03,if_else,C,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\03_if_else_C_run3.ll | ============================================================ |  | [
04,while_loop,A,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\04_while_loop_A_run1.ll | ============================================================
04,while_loop,A,2,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\04_while_loop_A_run2.ll | ============================================================
04,while_loop,A,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\04_while_loop_A_run3.ll | ============================================================
04,while_loop,B,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\04_while_loop_B_run1.ll | ============================================================
04,while_loop,B,2,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\04_while_loop_B_run2.ll | ============================================================
04,while_loop,B,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\04_while_loop_B_run3.ll | ============================================================
04,while_loop,C,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\04_while_loop_C_run1.ll | ============================================================
04,while_loop,C,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\04_while_loop_C_run2.ll | ============================================================
04,while_loop,C,3,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\04_while_loop_C_run3.ll | ============================================================
05,for_loop,A,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\05_for_loop_A_run1.ll | ============================================================ |  | 
05,for_loop,A,2,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\05_for_loop_A_run2.ll | ============================================================ |  | 
05,for_loop,A,3,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\05_for_loop_A_run3.ll | ============================================================ |  | 
05,for_loop,B,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\05_for_loop_B_run1.ll | ============================================================ |  | 
05,for_loop,B,2,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\05_for_loop_B_run2.ll | ============================================================ |  | 
05,for_loop,B,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\05_for_loop_B_run3.ll | ============================================================ |  | 
05,for_loop,C,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\05_for_loop_C_run1.ll | ============================================================ |  | 
05,for_loop,C,2,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\05_for_loop_C_run2.ll | ============================================================ |  | 
05,for_loop,C,3,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\05_for_loop_C_run3.ll | ============================================================ |  | 
06,functions,A,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\06_functions_A_run1.ll | ============================================================ | 
06,functions,A,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\06_functions_A_run2.ll | ============================================================ | 
06,functions,A,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\06_functions_A_run3.ll | ============================================================ | 
06,functions,B,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\06_functions_B_run1.ll | ============================================================ | 
06,functions,B,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\06_functions_B_run2.ll | ============================================================ | 
06,functions,B,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\06_functions_B_run3.ll | ============================================================ | 
06,functions,C,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\06_functions_C_run1.ll | ============================================================ | 
06,functions,C,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\06_functions_C_run2.ll | ============================================================ | 
06,functions,C,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\06_functions_C_run3.ll | ============================================================ | 
07,nested_ctrl,A,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\07_nested_ctrl_A_run1.ll | ===========================================================
07,nested_ctrl,A,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\07_nested_ctrl_A_run2.ll | ===========================================================
07,nested_ctrl,A,3,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\07_nested_ctrl_A_run3.ll | ===========================================================
07,nested_ctrl,B,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\07_nested_ctrl_B_run1.ll | ===========================================================
07,nested_ctrl,B,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\07_nested_ctrl_B_run2.ll | ===========================================================
07,nested_ctrl,B,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\07_nested_ctrl_B_run3.ll | ===========================================================
07,nested_ctrl,C,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\07_nested_ctrl_C_run1.ll | ===========================================================
07,nested_ctrl,C,2,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\07_nested_ctrl_C_run2.ll | ===========================================================
07,nested_ctrl,C,3,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\07_nested_ctrl_C_run3.ll | ===========================================================
